Date,Open,High,Low,Close,Volume
2006-02-10,428.0,428.0,428.0,428.0,0
2006-02-13,428.0,428.0,425.0,425.0,0
2006-02-14,425.0,428.0,425.0,428.0,0
2006-02-15,428.0,428.0,428.0,428.0,0
2006-02-16,428.0,428.0,425.0,426.0,0
2006-02-17,426.0,426.0,426.0,426.0,0
2006-02-20,426.0,426.0,426.0,426.0,0
2006-02-21,426.0,426.0,425.0,425.0,0
2006-02-22,425.0,425.0,424.0,424.0,0
2006-02-23,424.0,428.0,424.0,428.0,0
2006-02-24,428.0,428.0,428.0,428.0,0
2006-02-27,428.0,428.0,428.0,428.0,0
2006-02-28,428.0,428.0,427.0,427.0,0
2006-03-01,427.0,427.0,425.0,425.0,0
2006-03-02,425.0,425.0,425.0,425.0,0
2006-03-03,425.0,425.0,425.0,425.0,0
2006-03-06,425.0,425.0,425.0,425.0,0
2006-03-07,425.0,425.0,425.0,425.0,0
2006-03-08,425.0,425.0,425.0,425.0,0
2006-03-09,425.0,425.0,425.0,425.0,0
2006-03-10,425.0,425.0,425.0,425.0,0
2006-03-13,425.0,427.0,425.0,427.0,0
2006-03-14,427.0,427.0,427.0,427.0,0
2006-03-15,427.0,427.0,427.0,427.0,0
2006-03-16,427.0,427.0,427.0,427.0,0
2006-03-17,427.0,427.0,427.0,427.0,0
2006-03-20,427.0,427.0,427.0,427.0,0
2006-03-21,427.0,427.0,427.0,427.0,0
2006-03-22,427.0,427.0,427.0,427.0,0
2006-03-23,427.0,427.0,427.0,427.0,0
2006-04-11,431.5,435.5,431.0,431.5,0
2006-07-04,440.5,441.0,440.0,440.5,0
2006-10-09,467.0,467.5,466.5,467.0,0
2006-10-13,467.0,467.5,466.5,467.0,0
2006-10-27,537.5,538.0,537.0,537.5,0
2006-11-21,540.0,540.5,539.5,540.0,0
2006-12-01,540.0,540.5,539.5,540.0,0
2006-12-07,540.0,540.5,539.5,540.0,0
2006-12-22,540.25,540.5,540.0,540.0,0
2006-12-29,540.25,540.5,540.0,540.0,0
2007-01-18,535.25,540.5,530.0,540.0,0
2007-01-25,535.25,540.5,520.0,540.0,0
2007-02-01,535.25,540.5,520.0,540.0,0
2007-02-09,535.25,540.5,520.0,540.0,0
2007-02-13,535.25,540.5,520.0,530.0,0
2007-02-16,530.0,540.0,520.0,530.0,0
2007-02-21,529.5,539.5,519.5,530.0,0
2007-03-06,567.0,577.0,557.0,530.0,0
2007-03-09,565.0,575.0,555.0,530.0,0
2007-03-21,567.0,577.0,557.0,530.0,0
2007-04-02,567.0,577.0,557.0,530.0,0
2007-04-05,567.0,577.0,557.0,530.0,0
2007-04-09,567.0,577.0,557.0,530.0,0
2007-04-18,567.0,577.0,557.0,530.0,0
2007-04-20,567.0,577.0,557.0,530.0,0
2007-04-30,555.0,565.0,545.0,530.0,0
2007-05-09,554.5,564.5,544.5,530.0,0
2007-05-16,554.5,564.5,544.5,530.0,0
2007-05-25,554.5,564.5,544.5,530.0,0
2007-05-29,555.0,565.0,545.0,530.0,0
2007-06-26,557.5,567.5,547.5,530.0,0
2007-07-03,557.5,567.5,547.5,530.0,0
2007-07-16,559.0,569.0,549.0,530.0,0
2007-08-06,560.0,570.0,550.0,530.0,0
2007-08-14,560.0,570.0,550.0,530.0,0
2007-08-20,560.0,570.0,550.0,530.0,0
2007-08-22,560.0,570.0,550.0,530.0,0
2007-08-29,560.0,570.0,550.0,530.0,0
2007-08-31,560.0,570.0,550.0,530.0,0
2007-09-12,560.0,570.0,550.0,530.0,0
2007-09-17,560.0,570.0,550.0,530.0,0
2007-09-19,560.0,570.0,550.0,530.0,0
2007-10-05,560.0,570.0,550.0,530.0,0
2007-10-30,560.0,570.0,550.0,530.0,0
2007-11-05,560.0,570.0,550.0,530.0,0
2007-11-07,560.0,570.0,550.0,530.0,0
2007-11-09,556.5,566.5,546.5,530.0,0
2007-11-14,556.5,566.5,546.5,530.0,0
2007-11-20,556.5,566.5,546.5,530.0,0
2009-07-29,752.0,752.0,752.0,752.0,0
2009-07-30,755.0,755.0,755.0,755.0,0
2009-07-31,760.0,760.0,760.0,760.0,0
2009-08-03,765.0,765.0,765.0,760.0,0
2009-08-10,770.0,770.0,770.0,770.0,0
2009-08-11,765.0,765.0,765.0,765.0,0
2009-08-12,770.0,770.0,770.0,770.0,0
2009-08-13,775.0,775.0,775.0,775.0,0
2009-08-14,780.0,780.0,780.0,780.0,0
2009-08-17,790.0,790.0,790.0,790.0,0
2009-08-18,790.0,790.0,790.0,790.0,0
2009-08-19,785.0,785.0,785.0,785.0,0
2009-08-20,785.0,785.0,785.0,785.0,0
2009-08-21,780.0,780.0,780.0,780.0,0
2009-08-24,780.0,780.0,780.0,780.0,0
2009-08-25,780.0,780.0,780.0,780.0,0
2009-08-26,785.0,785.0,785.0,785.0,0
2009-08-27,785.0,785.0,785.0,785.0,0
2009-09-01,790.0,790.0,790.0,790.0,0
2009-09-02,790.0,790.0,790.0,790.0,0
2009-09-03,785.0,785.0,785.0,785.0,0
2009-09-04,790.0,790.0,790.0,790.0,0
2009-09-07,790.0,790.0,790.0,790.0,0
2009-09-08,790.0,790.0,790.0,790.0,0
2009-09-09,790.0,790.0,790.0,790.0,0
2009-09-10,790.0,790.0,790.0,790.0,0
2009-09-11,790.0,790.0,790.0,790.0,0
2009-09-14,790.0,790.0,790.0,790.0,0
2009-09-17,780.0,780.0,780.0,780.0,0
2009-09-18,785.0,785.0,785.0,785.0,0
2009-09-24,785.0,785.0,785.0,785.0,0
2009-09-29,805.0,805.0,805.0,805.0,0
2009-09-30,805.0,805.0,805.0,805.0,0
2009-10-01,805.0,805.0,805.0,805.0,0
2009-10-08,840.0,840.0,840.0,840.0,0
2009-10-09,840.0,840.0,840.0,840.0,0
2009-10-12,840.0,840.0,840.0,840.0,0
2009-10-13,840.0,840.0,840.0,840.0,0
2009-10-14,840.0,840.0,840.0,840.0,0
2009-10-15,840.0,840.0,840.0,840.0,0
2009-10-16,840.0,840.0,840.0,840.0,0
2009-10-19,840.0,840.0,840.0,840.0,0
2009-10-21,840.0,840.0,840.0,840.0,0
2009-10-22,840.0,840.0,840.0,840.0,0
2009-10-23,840.0,840.0,840.0,840.0,0
2009-10-27,840.0,840.0,840.0,840.0,0
2009-10-29,860.0,860.0,860.0,860.0,0
2009-10-30,860.0,860.0,860.0,860.0,0
2009-11-02,875.0,875.0,875.0,875.0,0
2009-11-03,875.0,875.0,875.0,875.0,0
2009-11-04,865.0,865.0,865.0,865.0,0
2009-11-05,860.0,860.0,860.0,860.0,0
2009-11-06,860.0,860.0,860.0,860.0,0
2009-11-09,865.0,865.0,865.0,865.0,0
2009-11-10,865.0,865.0,865.0,865.0,0
2009-11-11,860.0,860.0,860.0,860.0,0
2009-11-12,860.0,860.0,860.0,860.0,0
2009-11-13,860.0,860.0,860.0,860.0,0
2009-11-17,880.0,880.0,880.0,880.0,0
2009-11-18,880.0,880.0,880.0,880.0,0
2009-11-19,885.0,885.0,885.0,885.0,0
2009-11-20,880.0,880.0,880.0,880.0,0
2009-11-27,880.0,880.0,880.0,880.0,0
2009-12-01,880.0,880.0,880.0,880.0,0
2009-12-02,885.0,885.0,885.0,885.0,0
2009-12-08,880.0,880.0,880.0,880.0,0
2009-12-09,880.0,880.0,880.0,880.0,0
2009-12-10,890.0,890.0,890.0,890.0,0
2009-12-11,890.0,890.0,890.0,890.0,0
2009-12-15,890.0,890.0,890.0,890.0,0
2009-12-16,890.0,890.0,890.0,890.0,0
2009-12-17,892.0,892.0,892.0,892.0,0
2009-12-18,890.0,890.0,890.0,890.0,0
2009-12-22,890.0,890.0,890.0,890.0,0
2009-12-24,890.0,890.0,890.0,890.0,0
2009-12-31,890.0,890.0,890.0,890.0,0
2010-01-07,890.0,890.0,890.0,890.0,0
2010-01-08,890.0,890.0,890.0,890.0,0
2010-01-13,890.0,890.0,890.0,890.0,0
2010-01-14,895.0,895.0,895.0,895.0,0
2010-01-15,900.0,900.0,900.0,900.0,0
2010-01-22,890.0,890.0,890.0,890.0,0
2010-01-26,900.0,900.0,900.0,900.0,0
2010-01-27,900.0,900.0,900.0,900.0,0
2010-01-28,900.0,900.0,900.0,900.0,0
2010-01-29,900.0,900.0,900.0,900.0,0
2010-02-01,900.0,900.0,900.0,900.0,0
2010-02-03,900.0,900.0,900.0,900.0,0
2010-02-04,900.0,900.0,900.0,900.0,0
2010-02-05,895.0,895.0,895.0,895.0,0
2010-02-08,900.0,900.0,900.0,900.0,0
2010-02-10,895.0,895.0,895.0,895.0,0
2010-02-11,900.0,900.0,900.0,900.0,0
